firm,year,sector,emp,wage
11,1982,3,1.175,24.0345
12,1976,3,1.78,34.299099
12,1977,3,1.643,30.3979
12,1978,3,1.39,31.143101
12,1979,3,1.35,33.310501
12,1980,3,1.082,30.214701
12,1981,3,0.77999997,29.7414
12,1982,3,0.68000001,31.123501
13,1976,1,2.3529999,22.383301
13,1977,1,2.3859999,23.060699
13,1978,1,2.375,23.493099
13,1979,1,2.415,26.0042
13,1980,1,2.266,24.167101
13,1981,1,1.777,26.057301
13,1982,1,1.5369999,28.7064
14,1978,1,3.165,20.911301
14,1979,1,3.096,21.8887
14,1980,1,2.9909999,23.701
14,1981,1,2.6919999,21.3925
14,1982,1,2.175,25.523701
14,1983,1,1.801,25.7211
14,1984,1,1.428,25.645201
15,1977,9,7.2199998,22.5898
15,1978,9,7.3210001,22.054899
15,1979,9,7.0970001,22.290199
15,1980,9,7.2010002,20.680799
15,1981,9,6.6020002,21.615101
15,1982,9,5.3109999,23.1551
15,1983,9,5.3940001,25.099899
16,1976,4,2.757,29.3517
16,1977,4,2.632,27.0686
16,1978,4,2.6470001,27.2752
16,1979,4,2.687,26.6444
16,1980,4,2.4170001,25.3591
16,1981,4,2.2179999,25.2731
16,1982,4,2.1059999,27.444599
17,1977,1,1.09,23.9352
17,1978,1,1.1440001,22.613899
17,1979,1,1.1950001,23.080099
17,1980,1,1.2589999,25.034599
17,1981,1,1.319,24.258699
17,1982,1,1.188,28.4659
17,1983,1,1.163,29.4594
18,1977,4,7.4070001,29.968901
18,1978,4,7.3920002,26.261101
18,1979,4,7.198,25.7528
18,1980,4,6.8720002,24.319799
18,1981,4,6.131,24.3181
18,1982,4,5.7849998,26.5473
18,1983,4,5.487,26.593
19,1976,4,23.531,34.020401
19,1977,4,22.521,30.319099
19,1978,4,21.865999,29.191999
19,1979,4,21.066999,28.636499
19,1980,4,19.238001,29.714399
19,1981,4,16.247999,31.3375
19,1982,4,14.928,33.852798
20,1977,4,1.053,28.045
20,1978,4,1.117,26.5632
20,1979,4,1.125,25.6042
20,1980,4,1.04,25.6604
20,1981,4,0.995,25.49
20,1982,4,0.92299998,25.537001
20,1983,4,0.90799999,26.4244
21,1977,4,1.9910001,29.687
21,1978,4,2.671,28.128401
21,1979,4,2.937,26.5734
21,1980,4,3.0150001,25.546101
21,1981,4,2.701,25.4198
21,1982,4,1.817,27.2402
21,1983,4,1.631,28.7047
22,1976,4,1.4,28.5597
22,1977,4,1.4529999,25.001499
22,1978,4,1.525,23.435801
22,1979,4,1.559,23.120199
22,1980,4,1.548,23.26
22,1981,4,1.339,20.0583
22,1982,4,1.031,21.144899
23,1976,4,10.555,32.507
23,1977,4,10.095,28.9027
23,1978,4,8.8999996,26.858299
23,1979,4,8.5389996,27.1607
23,1980,4,6.448,28.3155
23,1981,4,5.4050002,26.8969
23,1982,4,4.7090001,29.211901
24,1976,4,1.674,27.5898
24,1977,4,1.78,24.638599
24,1978,4,1.817,23.638599
24,1979,4,1.795,23.511801
24,1980,4,1.715,23.696301
24,1981,4,1.295,22.0786
24,1982,4,1.2079999,28.113899
25,1976,4,0.77200001,34.499802
25,1977,4,0.78799999,30.2071
25,1978,4,0.81999999,29.8638
25,1979,4,0.82099998,28.6675
25,1980,4,0.82800001,27.4259
25,1981,4,0.81099999,23.242399
25,1982,4,0.74199998,27.2418
26,1976,4,3.086,29.152
26,1977,4,3.3010001,26.433201
26,1978,4,3.3789999,26.1043
26,1979,4,3.319,24.9252
26,1980,4,3.1340001,25.307699
26,1981,4,2.71,26.459499
26,1982,4,2.5050001,27.286301
27,1978,4,6.5749998,25.9762
27,1979,4,6.3769999,25.728001
27,1980,4,5.7519999,26.0471
27,1981,4,4.8699999,25.929701
27,1982,4,4.4050002,27.816401
27,1983,4,7.3340001,19.2866
27,1984,4,7.145,32.038799
28,1977,5,0.61900002,13.2329
28,1978,5,0.72600001,13.6601
28,1979,5,0.773,14.4508
28,1980,5,0.70899999,14.4125
28,1981,5,0.65100002,15.0915
28,1982,5,0.52100003,16.374399
28,1983,5,0.49700001,17.137199
29,1977,5,1.11,28.0152
29,1978,5,1.1390001,28.0714
29,1979,5,1.196,28.7446
29,1980,5,1.2359999,29.131701
29,1981,5,1.054,29.630699
29,1982,5,0.93900001,30.7194
29,1983,5,0.91100001,33.2514
30,1976,4,1.1289999,31.772301
30,1977,4,1.181,26.8608
30,1978,4,1.176,26.100901
30,1979,4,1.189,27.5408
30,1980,4,1.149,27.2342
30,1981,4,0.95700002,24.664301
30,1982,4,0.89099997,24.8081
31,1976,3,1.791,23.302401
31,1977,3,1.8049999,20.9296
31,1978,3,2.063,21.855301
31,1979,3,1.984,23.4757
31,1980,3,1.558,24.919901
31,1981,3,1.285,28.0984
31,1982,3,1.1109999,27.698299
32,1977,5,1.771,21.188101
32,1978,5,1.788,21.0368
32,1979,5,1.8609999,21.011101
32,1980,5,1.864,21.079399
32,1981,5,1.664,18.894899
32,1982,5,1.511,20.6339
32,1983,5,1.4960001,23.106501
33,1976,5,13.329,24.375299
33,1977,5,13.509,23.4904
33,1978,5,13.452,23.415501
33,1979,5,11.751,22.737
33,1980,5,10.706,24.2665
33,1981,5,8.8210001,31.679001
33,1982,5,6.283,25.0406
34,1977,5,1.215,15.1847
34,1978,5,1.306,15.1559
34,1979,5,1.391,16.907
34,1980,5,1.4069999,16.7456
34,1981,5,1.156,16.7556
34,1982,5,1.194,17.184999
34,1983,5,1.351,17.8622
35,1977,5,5.3730001,25.722799
35,1978,5,5.8649998,24.8794
35,1979,5,6.066,28.149099
35,1980,5,6.724,28.7078
35,1981,5,14.135,29.0655
35,1982,5,12.662,30.8473
35,1983,5,12.201,32.295799
36,1976,5,0.47099999,24.003099
36,1977,5,0.47799999,23.121599
36,1978,5,0.442,23.696699
36,1979,5,0.45100001,23.3783
36,1980,5,0.41100001,23.3951
36,1981,5,0.38600001,23.880301
36,1982,5,0.36000001,22.9678
37,1977,4,14.4,32.2197
37,1978,4,14.719,31.0016
37,1979,4,14.437,32.014599
37,1980,4,13.436,29.891199
37,1981,4,11.697,30.1672
37,1982,4,10.04,32.046398
37,1983,4,9.0869999,36.2481
38,1976,6,7.4580002,26.411501
38,1977,6,7.8800001,22.8421
38,1978,6,8.2550001,22.410601
38,1979,6,8.1619997,25.463699
38,1980,6,7.4520001,27.408899
38,1981,6,5.9330001,27.7596
38,1982,6,5.0380001,27.7857
39,1977,4,1.484,31.710199
39,1978,4,1.551,26.575199
39,1979,4,1.556,25.7082
39,1980,4,1.625,27.4095
39,1981,4,1.4069999,27.805201
39,1982,4,0.81400001,27.4953
39,1983,4,0.699,29.118299
40,1976,6,13.163,26.122801
40,1977,6,12.894,23.8501
40,1978,6,12.169,23.3762
40,1979,6,12.38,24.396099
40,1980,6,12.662,27.2358
40,1981,6,12.736,28.7736
40,1982,6,12.195,28.9251
41,1977,4,12.429,28.0721
41,1978,4,14.234,25.745701
41,1979,4,14.737,25.4566
41,1980,4,14.829,26.225
41,1981,4,14.911,26.935499
41,1982,4,13.824,27.965599
41,1983,4,13.126,29.791401
42,1976,6,1.228,24.006001
42,1977,6,1.8049999,23.360201
42,1978,6,1.723,21.224199
42,1979,6,1.779,22.4842
42,1980,6,1.314,24.014999
42,1981,6,0.699,22.7356
42,1982,6,0.60600001,24.7679
43,1977,1,12.072,18.726999
43,1978,1,17.858999,15.7567
43,1979,1,17.698999,16.1252
43,1980,1,17.919001,16.6001
43,1981,1,10.983,24.500799
43,1982,1,9.882,28.218399
43,1983,1,8.941,29.1313
44,1977,4,0.78100002,23.728701
44,1978,4,0.83999997,21.9247
44,1979,4,0.88099998,21.6863
44,1980,4,0.86500001,20.9797
44,1981,4,0.71100003,20.5714
44,1982,4,0.58899999,22.011
44,1983,4,0.75599998,23.707899
45,1977,1,32.290001,24.8594
45,1978,1,33.916,25.780399
45,1979,1,34.389,26.4298
45,1980,1,33.348,29.2707
45,1981,1,31.034,28.0546
45,1982,1,26.226,32.165401
45,1983,1,24.379,32.5037
46,1976,1,2.971,19.5527
46,1977,1,3.0650001,19.2621
46,1978,1,3.03,18.7115
46,1979,1,2.96,21.902901
46,1980,1,2.5569999,19.7124
46,1981,1,2.266,23.8853
46,1982,1,2.168,26.339199
47,1976,4,2.4260001,27.3671
47,1977,4,2.142,25.9189
47,1978,4,1.973,24.839199
47,1979,4,1.794,24.450001
47,1980,4,1.553,22.2279
47,1981,4,1.225,22.238701
47,1982,4,1.077,23.042101
48,1976,1,1.647,25.613199
48,1977,1,2.3369999,23.1621
48,1978,1,2.3929999,23.7969
48,1979,1,2.3540001,27.415199
48,1980,1,2.2869999,22.884501
48,1981,1,2.0450001,26.3207
48,1982,1,1.932,27.6618
49,1976,4,3.7579999,27.266199
49,1977,4,3.6919999,24.301399
49,1978,4,3.721,22.9648
49,1979,4,3.6989999,22.3913
49,1980,4,3.447,22.239799
49,1981,4,2.836,20.686899
49,1982,4,2.6129999,21.7929
50,1976,6,72.862,25.4009
50,1977,6,73.291,22.790501
50,1978,6,70.773003,22.2787
50,1979,6,72.542,22.929501
50,1980,6,64.803001,24.6947
50,1981,6,48.312,24.763201
50,1982,6,40.609001,24.7381
51,1976,1,0.76700002,23.3293
51,1977,1,0.75599998,22.0299
51,1978,1,0.72500002,21.699301
51,1979,1,0.67000002,23.4722
51,1980,1,0.64499998,22.8039
51,1981,1,0.56,25.1938
51,1982,1,0.55199999,27.728901
52,1976,4,14.179,28.0287
52,1977,4,14.224,24.2376
52,1978,4,13.965,22.322599
52,1979,4,13.615,22.278999
52,1980,4,12.329,21.6679
52,1981,4,10.505,22.2034
52,1982,4,10.973,21.640699
53,1977,4,6.8779998,26.023199
53,1978,4,6.947,22.3729
53,1979,4,6.895,22.1866
53,1980,4,6.586,21.4468
53,1981,4,5.619,21.756001
53,1982,4,4.6849999,23.0119
53,1983,4,4.4920001,25.4869
54,1977,1,3.802,23.7966
54,1978,1,4.1090002,22.6649
54,1979,1,4.211,23.049
54,1980,1,4.1560001,24.870001
54,1981,1,3.7590001,22.7146
54,1982,1,3.053,26.2784
54,1983,1,2.6359999,27.3659
55,1976,4,5.4819999,35.828899
55,1977,4,6.5279999,33.745098
55,1978,4,6.901,32.785301
55,1979,4,7.2080002,32.328098
55,1980,4,6.5009999,35.4856
55,1981,4,5.8000002,35.0923
55,1982,4,5.6560001,37.237499
56,1976,1,2.9059999,22.0219
56,1977,1,3.0280001,20.558001
56,1978,1,2.9849999,20.2542
56,1979,1,2.8770001,22.7008
56,1980,1,2.612,20.494801
56,1981,1,2.1400001,25.0394
56,1982,1,1.5599999,25.997299
57,1977,8,2.0480001,14.6551
57,1978,8,2.158,14.5408
57,1979,8,2.0109999,14.4554
57,1980,8,1.877,14.2665
57,1981,8,0.97799999,14.2563
57,1982,8,0.83700001,15.424
57,1983,8,0.81999999,16.1724
58,1976,4,20.84,29.9837
58,1977,4,22.705,26.077101
58,1978,4,23.844999,25.526501
58,1979,4,23.073,24.4342
58,1980,4,20.52,23.927799
58,1981,4,16.499001,25.0674
58,1982,4,13.949,25.539801
59,1977,8,9.849,18.2812
59,1978,8,9.5979996,17.1099
59,1979,8,8.9429998,16.3748
59,1980,8,7.5539999,16.273001
59,1981,8,5.8340001,17.3946
59,1982,8,4.743,19.509199
59,1983,8,3.9820001,20.3419
60,1976,9,3.1099999,25.520599
60,1977,9,1.147,24.587299
60,1978,9,0.75800002,23.163
60,1979,9,0.76899999,21.9189
60,1980,9,0.73100001,20.4489
60,1981,9,0.99800003,21.5611
60,1982,9,0.88599998,21.102301
61,1977,9,2.4790001,21.6332
61,1978,9,2.503,21.3619
61,1979,9,2.586,21.6716
61,1980,9,2.612,22.2521
61,1981,9,2.2309999,22.268999
61,1982,9,1.827,24.0683
61,1983,9,1.71,22.808201
62,1977,8,2.763,16.0079
62,1978,8,2.6900001,15.7933
62,1979,8,2.651,15.7482
62,1980,8,2.5320001,15.6637
62,1981,8,2.2479999,16.4161
62,1982,8,1.761,17.693199
62,1983,8,1.85,18.9452
63,1976,2,0.81199998,39.104301
63,1977,2,0.829,34.5228
63,1978,2,0.861,33.496498
63,1979,2,0.85699999,32.6866
63,1980,2,0.86699998,30.738501
63,1981,2,0.84200001,31.9259
63,1982,2,0.81800002,33.823101
64,1976,2,9.0740004,33.706799
64,1977,2,9.5620003,29.4653
64,1978,2,9.4879999,29.7516
64,1979,2,9.5900002,27.6723
64,1980,2,9.3800001,25.797501
64,1981,2,8.3579998,27.2806
64,1982,2,7.0359998,27.9863
65,1976,2,25.106001,29.993299
65,1977,2,24.018999,31.1199
65,1978,2,24.080999,30.733999
65,1979,2,23.688,26.9734
65,1980,2,21.739,26.2379
65,1981,2,18.584999,28.428101
65,1982,2,19.566,26.800301
66,1977,2,8.5,32.8913
66,1978,2,8.5,30.0208
66,1979,2,8.3000002,30.323799
66,1980,2,8.3000002,28.0602
66,1981,2,7.6999998,28.345301
66,1982,2,7,35.3102
66,1983,2,6.9000001,30.0644
67,1976,8,11.658,16.9153
67,1977,8,12.271,18.364901
67,1978,8,12.251,18.662901
67,1979,8,11.82,20.322701
67,1980,8,10.886,20.3881
67,1981,8,9.6000004,20.462099
67,1982,8,9.7659998,20.2388
68,1976,2,3.74,36.437901
68,1977,2,3.7780001,33.8451
68,1978,2,3.8110001,34.311401
68,1979,2,4.4400001,30.320101
68,1980,2,6.3080001,27.171
68,1981,2,5.8610001,28.2645
68,1982,2,5.4289999,27.904699
69,1977,2,1.272,31.0518
69,1978,2,1.2920001,31.001499
69,1979,2,1.386,30.1143
69,1980,2,1.46,27.9505
69,1981,2,1.351,26.498199
69,1982,2,1.365,28.112101
69,1983,2,1.4630001,27.971201
70,1977,9,2.6489999,23.645399
70,1978,9,2.5050001,22.2871
70,1979,9,2.4030001,22.3043
70,1980,9,2.247,21.978901
70,1981,9,1.853,20.344801
70,1982,9,1.322,23.1259
70,1983,9,0.81599998,25.159
71,1976,9,1.6,27.6175
71,1977,9,1.429,23.0534
71,1978,9,1.605,23.2288
71,1979,9,1.798,23.906601
71,1980,9,1.586,22.5639
71,1981,9,1.011,23.937799
71,1982,9,0.91299999,23.933599
72,1976,9,13.353,30.6087
72,1977,9,12.255,29.0961
72,1978,9,11.963,29.8629
72,1979,9,11.776,32.937199
72,1980,9,11.318,32.134899
72,1981,9,8.7810001,34.703899
72,1982,9,7.619,33.998699
73,1977,9,1.341,35.6866
73,1978,9,1.385,32.4538
73,1979,9,1.401,30.558599
73,1980,9,1.401,33.242401
73,1981,9,1.34,33.0928
73,1982,9,1.232,34.538799
73,1983,9,0.66500002,34.942001
74,1977,9,3.2379999,22.4104
74,1978,9,3.346,21.339899
74,1979,9,3.3069999,22.132401
74,1980,9,3.293,23.0215
74,1981,9,2.5450001,21.369801
74,1982,9,2.339,22.9254
74,1983,9,2.062,23.856001
75,1976,9,2.8629999,26.638599
75,1977,9,2.9979999,24.866199
75,1978,9,2.9289999,24.623501
75,1979,9,2.842,25.566099
75,1980,9,2.3050001,24.8379
75,1981,9,2.175,26.684799
75,1982,9,2.049,26.8873
76,1976,9,4.6700001,25.9291
76,1977,9,4.618,24.060499
76,1978,9,4.6220002,24.1003
76,1979,9,5.0029998,25.428801
76,1980,9,4.9569998,26.630899
76,1981,9,4.4510002,28.103001
76,1982,9,3.8710001,30.0096
77,1977,9,6.73,18.5294
77,1978,9,6.5409999,18.2251
77,1979,9,5.7719998,19.808001
77,1980,9,5.6240001,20.7628
77,1981,9,4.3870001,20.941601
77,1982,9,4.461,20.117201
77,1983,9,4.9039998,19.8944
78,1976,9,6.796,26.2715
78,1977,9,7.1339998,25.423
78,1978,9,7.5170002,25.424601
78,1979,9,8.3830004,25.5772
78,1980,9,7.658,24.439899
78,1981,9,6.5890002,24.883301
78,1982,9,6.0770001,25.686399
79,1976,5,0.456,20.5816
79,1977,5,0.54400003,22.628599
79,1978,5,0.61799997,22.9645
79,1979,5,0.82800001,20.2749
79,1980,5,0.75,22.792
79,1981,5,0.60399997,22.8452
79,1982,5,0.62099999,22.389999
80,1976,9,2.9849999,23.1108
80,1977,9,2.635,22.0767
80,1978,9,2.5610001,22.440901
80,1979,9,2.842,23.5774
80,1980,9,2.9909999,22.550501
80,1981,9,2.7820001,22.987801
80,1982,9,2.5,23.372299
81,1976,4,0.85699999,28.028099
81,1977,4,0.86500001,24.6311
81,1978,4,0.85699999,23.2267
81,1979,4,0.78899997,22.7316
81,1980,4,0.79000002,21.758801
81,1981,4,0.704,23.7841
81,1982,4,0.67299998,25.703699
82,1976,4,5.842,38.300301
82,1977,4,5.033,33.3325
82,1978,4,4.961,34.5783
82,1979,4,5.059,34.411701
82,1980,4,4.8860002,35.873402
82,1981,4,4.868,36.060101
82,1982,4,4.7350001,39.867001
83,1977,1,7.0450001,24.070601
83,1978,1,7.0040002,22.738701
83,1979,1,6.7740002,24.3349
83,1980,1,5.9590001,26.8568
83,1981,1,4.7410002,25.9133
83,1982,1,3.78,26.9505
83,1983,1,3.296,29.193399
84,1976,7,11.004,20.639
84,1977,7,12.816,17.010799
84,1978,7,15.377,16.4804
84,1979,7,16.205999,17.922199
84,1980,7,16.402,19.347401
84,1981,7,16.086,20.607401
84,1982,7,16.83,20.706301
85,1976,5,32.547001,16.868999
85,1977,5,30.806,17.441601
85,1978,5,30.379,17.785601
85,1979,5,30.533001,18.0352
85,1980,5,29.882999,17.8783
85,1981,5,25.172001,17.9781
85,1982,5,22.833,18.004
86,1976,7,98.259003,16.783501
86,1977,7,99.198997,15.3535
86,1978,7,100.415,18.8764
86,1979,7,108.562,15.37
86,1980,7,106.565,15.9282
86,1981,7,103.129,17.128599
86,1982,7,99.202003,17.187799
87,1976,4,69.900002,29.4851
87,1977,4,39.200001,24.5453
87,1978,4,41.400002,24.040199
87,1979,4,43,23.2321
87,1980,4,39.5,24.538401
87,1981,4,35.799999,24.5758
87,1982,4,32.400002,26.1768
88,1976,2,7.4770002,33.563599
88,1977,2,8.323,33.152901
88,1978,2,8.6219997,33.566799
88,1979,2,9.1350002,30.553801
88,1980,2,8.6730003,29.007
88,1981,2,7.244,31.325399
88,1982,2,7.3299999,31.6392
89,1976,2,1.11,32.797901
89,1977,2,1.3380001,30.4289
89,1978,2,1.33,31.576599
89,1979,2,1.317,28.063101
89,1980,2,1.341,27.281099
89,1981,2,1.357,28.4697
89,1982,2,1.3,27.8811
90,1976,2,11.94,45.2318
90,1977,2,11.703,33.733398
90,1978,2,10.977,24.428301
90,1979,2,10.304,17.6434
90,1980,2,11.795,24.7502
90,1981,2,10.806,25.315001
90,1982,2,10.467,26.4062
91,1976,3,0.236,31.7209
91,1977,3,0.248,29.5571
91,1978,3,0.244,30.2876
91,1979,3,0.23800001,31.3887
91,1980,3,0.227,28.158899
91,1981,3,0.18700001,29.461599
91,1982,3,0.178,31.5145
92,1976,5,0.287,21.2411
92,1977,5,0.33700001,20.240801
92,1978,5,0.28799999,22.959101
92,1979,5,0.154,23.6096
92,1980,5,0.162,23.339701
92,1981,5,0.152,24.7467
92,1982,5,0.131,25.7297
93,1977,5,74.661003,20.6721
93,1978,5,75.087997,20.9398
93,1979,5,73.137001,21.4613
93,1980,5,101.04,21.5776
93,1981,5,90.893997,21.219601
93,1982,5,78.083,22.6926
93,1983,5,73.558998,23.534401
94,1976,4,2.517,31.4967
94,1977,4,2.517,28.2251
94,1978,4,2.5009999,27.801201
94,1979,4,2.398,26.7117
94,1980,4,2.312,26.123899
94,1981,4,1.928,25.926701
94,1982,4,1.6569999,28.877701
95,1976,1,0.95300001,26.133499
95,1977,1,0.94700003,24.080999
95,1978,1,0.92500001,23.9431
95,1979,1,1.074,26.5404
95,1980,1,1.051,23.332701
95,1981,1,0.93400002,28.928699
95,1982,1,0.87599999,28.888599
96,1976,1,51.395,22.839199
96,1977,1,51.490002,21.413
96,1978,1,60.299999,23.093599
96,1979,1,59.5,25.8283
96,1980,1,50.299999,23.752701
96,1981,1,42.599998,25.834801
96,1982,1,27.700001,27.842199
97,1976,4,23.423,30.9571
97,1977,4,23.566999,26.5777
97,1978,4,23.989,24.1514
97,1979,4,23.347,23.2528
97,1980,4,22.597,24.5296
97,1981,4,17.405001,24.167801
97,1982,4,14.94,25.943899
98,1977,1,3.625,30.747101
98,1978,1,4.23,27.507601
98,1979,1,4.1919999,28.126801
98,1980,1,4.165,34.055
98,1981,1,8.507,28.423401
98,1982,1,7.7199998,33.678501
98,1983,1,7.2210002,35.917
99,1977,9,1.082,26.280899
99,1978,9,1.085,24.9293
99,1979,9,1.112,26.2064
99,1980,9,1.082,25.9102
99,1981,9,0.91100001,25.9697
99,1982,9,0.57200003,27.189899
99,1983,9,0.51999998,26.4638
100,1977,1,4.5450001,19.990101
100,1978,1,4.9169998,22.208599
100,1979,1,5.0679998,24.4737
100,1980,1,5.717,21.7729
100,1981,1,5.3330002,22.777599
100,1982,1,5.053,26.613501
100,1983,1,5.7389998,28.148399
101,1977,8,4.9759998,20.829399
101,1978,8,4.9970002,19.585699
101,1979,8,5.0619998,19.4888
101,1980,8,5.0700002,19.6896
101,1981,8,4.4349999,18.663
101,1982,8,3.4460001,22.705099
101,1983,8,2.9649999,23.854601
102,1977,3,0.60699999,27.964001
102,1978,3,0.72299999,25.9473
102,1979,3,0.78299999,27.125401
102,1980,3,0.884,26.2789
102,1981,3,0.88599998,26.058001
102,1982,3,0.91500002,29.4055
102,1983,3,0.98799998,29.6766
103,1976,5,0.465,21.559799
103,1977,5,0.43099999,20.1996
103,1978,5,0.463,18.800301
103,1979,5,0.472,19.471901
103,1980,5,0.45699999,19.6674
103,1981,5,0.329,24.325899
103,1982,5,0.296,19.645901
104,1977,7,1.388,17.587999
104,1978,7,1.457,17.589701
104,1979,7,1.607,17.7528
104,1980,7,1.702,18.525101
104,1981,7,1.689,20.050301
104,1982,7,1.546,21.7813
104,1983,7,1.563,21.272699
104,1984,7,1.564,22.1724
105,1977,7,0.29100001,24.218201
105,1978,7,0.292,25.390699
105,1979,7,0.30500001,24.8706
105,1980,7,0.32300001,28.421301
105,1981,7,0.30899999,28.6987
105,1982,7,0.28799999,28.369101
105,1983,7,0.26199999,30.340799
105,1984,7,0.24699999,28.1751
106,1977,7,1.919,10.3138
106,1978,7,2.0050001,10.0798
106,1979,7,2.0510001,10.0004
106,1980,7,2.092,10.8353
106,1981,7,2.109,11.1389
106,1982,7,2.0369999,10.6458
106,1983,7,2.0280001,10.6346
106,1984,7,1.969,10.7869
107,1977,7,0.98500001,10.4995
107,1978,7,1.075,11.1334
107,1979,7,1.149,10.7004
107,1980,7,1.395,10.1563
107,1981,7,1.712,11.4474
107,1982,7,1.607,13.8097
107,1983,7,1.655,13.1138
107,1984,7,1.6390001,13.5973
108,1977,7,0.648,23.7486
108,1978,7,0.59500003,24.811899
108,1979,7,0.648,23.5334
108,1980,7,0.66900003,25.3039
108,1981,7,0.74800003,24.0532
108,1982,7,0.74400002,24.7047
108,1983,7,0.76700002,24.0431
108,1984,7,0.824,23.9268
109,1977,7,4.7420001,10.2997
109,1978,7,4.96,10.3787
109,1979,7,5.1459999,10.5851
109,1980,7,5.4289999,10.7233
109,1981,7,5.4429998,11.2023
109,1982,7,5.6199999,10.6793
109,1983,7,5.6630001,10.775
109,1984,7,5.697,10.6654
110,1977,1,5.6929998,25.739901
110,1978,1,5.5929999,23.7876
110,1979,1,5.2610002,22.7549
110,1980,1,4.579,23.2911
110,1981,1,4.2189999,22.259199
110,1982,1,3.6459999,25.168699
110,1983,1,3.25,26.6654
110,1984,1,2.6370001,28.367001
111,1977,4,2.0280001,27.252899
111,1978,4,2.013,24.592199
111,1979,4,1.989,23.382
111,1980,4,1.773,22.0418
111,1981,4,1.6619999,22.961901
111,1982,4,1.385,23.8057
111,1983,4,1.1720001,25.682199
111,1984,4,1.097,26.0709
112,1977,6,3.4289999,21.937901
112,1978,6,3.085,21.179701
112,1979,6,3.0829999,21.625799
112,1980,6,3.0710001,21.341299
112,1981,6,2.4760001,23.562901
112,1982,6,1.723,23.6346
112,1983,6,1.487,24.464899
112,1984,6,1.291,24.1618
113,1976,5,1.824,23.2962
113,1977,5,1.919,22.200001
113,1978,5,1.933,22.5797
113,1979,5,1.816,23.464399
113,1980,5,1.603,21.9765
113,1981,5,1.308,23.019199
113,1982,5,1.03,25.057699
113,1983,5,0.74900001,26.0665
114,1977,8,0.57499999,24.0739
114,1978,8,0.55400002,23.7087
114,1979,8,0.57999998,23.435101
114,1980,8,0.48899999,23.0382
114,1981,8,0.47099999,21.4069
114,1982,8,1.0549999,10.8961
114,1983,8,0.44,27.4643
114,1984,8,0.463,30.716499
115,1977,8,1.86,17.7334
115,1978,8,1.847,17.2787
115,1979,8,1.738,17.116899
115,1980,8,1.5700001,17.5075
115,1981,8,1.346,20.4505
115,1982,8,1.368,20.373501
115,1983,8,1.358,18.806601
115,1984,8,1.469,17.869699
116,1977,8,1.924,19.974899
116,1978,8,1.918,19.7248
116,1979,8,1.949,19.0903
116,1980,8,1.9579999,19.435101
116,1981,8,1.758,19.2656
116,1982,8,1.651,20.941999
116,1983,8,1.63,21.027
116,1984,8,1.645,22.0182
117,1977,3,10.824,18.364799
117,1978,3,10.609,19.1535
117,1979,3,10.664,19.334999
